date,open,high,low,close
2023-05-22 00:00:00,1980.91992,1981.40991,1979.16992,1979.28491
2023-05-22 00:15:00,1979.2749,1980.02002,1978.91003,1978.96997
2023-05-22 00:30:00,1978.97498,1980.28491,1978.43506,1980.125
2023-05-22 00:45:00,1980.13,1981.37012,1979.55493,1981.07007
2023-05-22 01:00:00,1981.10998,1982.44507,1980.5249,1980.66992
2023-05-22 01:15:00,1980.67505,1981.25,1978.81006,1981.19995
2023-05-22 01:30:00,1981.20996,1981.22998,1978.46509,1979.03491
2023-05-22 01:45:00,1979.04004,1980.47498,1979.03003,1980.33008
2023-05-22 02:00:00,1980.33496,1980.34497,1976.375,1977.18506
2023-05-22 02:15:00,1977.1825,1978.84497,1977.125,1978.58008
2023-05-22 02:30:00,1978.57007,1978.79492,1976.79492,1976.79492
2023-05-22 02:45:00,1976.80493,1978.61499,1976.58997,1978.21997
2023-05-22 03:00:00,1978.20996,1979.2251,1976.73511,1977.57007
2023-05-22 03:15:00,1977.57495,1977.91992,1976.92505,1977.16992
2023-05-22 03:30:00,1977.15991,1978.3999,1977.05005,1978.14502
2023-05-22 03:45:00,1978.15991,1978.38501,1977.78491,1977.95996
2023-05-22 04:00:00,1977.96997,1978.84497,1977.59497,1978.3999
2023-05-22 04:15:00,1978.41992,1978.56494,1978.09009,1978.36499
2023-05-22 04:30:00,1978.37,1978.67993,1977.62012,1977.70996
2023-05-22 04:45:00,1977.71997,1977.71997,1976.03491,1976.38
2023-05-22 05:00:00,1976.37012,1976.37988,1974.94507,1975.85998
2023-05-22 05:15:00,1975.8501,1976.3501,1975.42505,1975.42505
2023-05-22 05:30:00,1975.41992,1975.4751,1972.41504,1973.2749
2023-05-22 05:45:00,1973.28491,1974.34497,1972.69995,1973.16504
2023-05-22 06:00:00,1973.17505,1974.08008,1971.31006,1972.78003
2023-05-22 06:15:00,1972.78491,1976.79004,1972.59009,1975.48498
2023-05-22 06:30:00,1975.46997,1976.66992,1974.79492,1975.57007
2023-05-22 06:45:00,1975.58008,1976.91992,1975.07495,1976.34009
2023-05-22 07:00:00,1976.33008,1978.71997,1974.84009,1975.11499
2023-05-22 07:15:00,1975.09497,1976.22998,1974.41504,1975.02502
2023-05-22 07:30:00,1975.01502,1976.56006,1974.88501,1976.40991
2023-05-22 07:45:00,1976.3999,1977.33997,1975.07007,1976.88
2023-05-22 08:00:00,1976.88147,1977.04492,1975.36011,1975.79492
2023-05-22 08:15:00,1975.80493,1976.35498,1975.23511,1976.08496
2023-05-22 08:30:00,1976.07007,1978.69507,1975.40503,1978.45996
2023-05-22 08:45:00,1978.45496,1980.85498,1978.14502,1980.7749
2023-05-22 09:00:00,1980.76502,1982.62,1980.7251,1982.08496
2023-05-22 09:15:00,1982.09497,1982.31494,1980.09009,1980.61011
2023-05-22 09:30:00,1980.62988,1981.9751,1979.58752,1980.0249
2023-05-22 09:45:00,1980.02002,1980.07007,1979.27002,1979.75
2023-05-22 10:00:00,1979.78003,1981.48999,1979.41992,1979.51245
2023-05-22 10:15:00,1979.51001,1980.34497,1978.91504,1980.33496
2023-05-22 10:30:00,1980.33008,1980.5249,1978.65405,1978.73511
2023-05-22 10:45:00,1978.72998,1979.00488,1977.69507,1978.20508
2023-05-22 11:00:00,1978.20996,1978.91504,1976.40002,1976.90503
2023-05-22 11:15:00,1976.90991,1977.83252,1976.48511,1976.75098
2023-05-22 11:30:00,1976.75,1977.08008,1969.90747,1971.23047
