date,open,high,low,close
2023-05-31 22:16:33+00:00,1963.9775,1964.9775,1962.9775,1963.9775
2023-05-31 22:16:34+00:00,1963.9775,1964.9775,1962.9775,1963.9775
2023-05-31 22:16:35+00:00,1963.9675,1964.9675,1962.9675,1963.9675
2023-05-31 22:16:36+00:00,1963.9675,1964.9675,1962.9675,1963.9675
2023-05-31 22:16:37+00:00,1963.94,1964.94,1962.94,1963.94
2023-05-31 22:16:37+00:00,1963.94,1964.94,1962.94,1963.94
2023-05-31 22:16:38+00:00,1963.94,1964.94,1962.94,1963.94
2023-05-31 22:16:39+00:00,1963.94,1964.94,1962.94,1963.94
2023-05-31 22:16:40+00:00,1963.985,1964.985,1962.985,1963.985
2023-05-31 22:16:40+00:00,1963.985,1964.985,1962.985,1963.985
2023-05-31 22:16:41+00:00,1963.985,1964.985,1962.985,1963.985
2023-05-31 22:16:42+00:00,1964.03,1965.03,1963.03,1964.03
2023-05-31 22:16:43+00:00,1964.005,1965.005,1963.005,1964.005
2023-05-31 22:16:44+00:00,1964.025,1965.025,1963.025,1964.025
2023-05-31 22:16:45+00:00,1964.025,1965.025,1963.025,1964.025
2023-05-31 22:16:45+00:00,1964.025,1965.025,1963.025,1964.025
2023-05-31 22:16:46+00:00,1964.03,1965.03,1963.03,1964.03
2023-05-31 22:16:47+00:00,1964.025,1965.025,1963.025,1964.025
2023-05-31 22:16:48+00:00,1964.0475,1965.0475,1963.0475,1964.0475
2023-05-31 22:16:48+00:00,1964.0825,1965.0825,1963.0825,1964.0825
2023-05-31 22:16:49+00:00,1964.0825,1965.0825,1963.0825,1964.0825
2023-05-31 22:16:50+00:00,1964.0825,1965.0825,1963.0825,1964.0825
2023-05-31 22:16:51+00:00,1964.0825,1965.0825,1963.0825,1964.0825
2023-05-31 22:16:52+00:00,1964.0825,1965.0825,1963.0825,1964.0825
2023-05-31 22:16:52+00:00,1964.0825,1965.0825,1963.0825,1964.0825
